year,party,name,id,delegates,percent_of_delegates,popular_vote,weighted_page_rank,pacs_contributing,direct_individual_donors,all_individual_donors,pac_n_clique_overlap,all_n_clique_overlap,community_size,pacs_in_community
2008,r,Alan Keyes,C00452532,2,0.000920386562356,0,NA,0,0,0,0.0,0.0,0,0
2008,r,Duncan Hunter,C00431411,1,0.000460193281178,0,0.000704075644682,23,1143,2917,0.0283,0.1176,1675,24
2012,d,Barack Obama,C00431445,3166,1.0,88.87,0.0248774358654,57,50299,79332,NA,NA,68833,191
2012,r,Mitt Romney,C00431171,1489,0.723166585721,52.13,0.0135893966135,123,32293,43144,0.0206,0.1097,27731,32
2012,r,Rick Santorum,C00578492,258,0.12530354541,20.43,0.00018077863181,14,1,966,0.0142,0.085,17,4
2012,r,Newt Gingrich,C00496497,154,0.0747935891209,14.21,0.00343467356031,25,7336,9719,0.0379,0.1494,40585,157
2012,r,Ron Paul,C00495820,154,0.0747935891209,10.89,0.0214131102209,16,15421,18549,0.0275,0.0994,40585,157
2012,r,Jon Hunstman,C00498444,3,0.00145701796989,0.44,0.000821476476436,17,2405,4961,0.0357,0.1182,2070,10
2012,r,Rick Perry,C00500587,0,0.0,0.22,0.00471534340788,67,10716,15449,0.0389,0.1413,19724,151
2012,r,Michele Bachmann,C00410118,1,0.000485672656629,0.18,0.00162513819931,15,1359,7282,0.0194,0.1058,40585,157
2012,r,Buddy Roemer,C00493692,0,0.0,0.17,1.14708001929e-05,0,36,36,0.0,0.0,35,1
2012,r,Herman Cain,C00496067,0,0.0,0.07,0.00280953309482,12,9967,11960,0.0255,0.1341,40585,157
2012,r,Gary Johnson,C00495622,0,0.0,0.02,0.000168049734265,2,402,904,0.0124,0.0248,40585,157
2016,d,Hilary Clinton,C00575795,NA,NA,0,0.0169955971185,140,33850,77171,0.0011,0.0041,33860,41
2016,d,Bernie Sanders,C00577130,NA,NA,0,0.00551027909796,8,12188,12743,0.0086,0.1102,13242,31
2016,d,Jim Webb,C00581215,NA,NA,0,0.000183795941444,1,407,782,0.0076,0.1082,695,9
2016,d,Lincoln Chafee,C00579706,NA,NA,0,1.25088679919e-05,0,30,30,0.0011,0.0,2595,8
2016,d,Lawrence Lessig,C00583146,NA,NA,0,0.000298358966454,0,661,661,0.0013,0.0,2595,8
2016,r,Jeb Bush,C00579458,NA,NA,0,0.00511714176613,26,11500,15705,0.0093,0.0823,11025,22
2016,r,Ben Carson,C00573519,NA,NA,0,0.00530648657553,6,12325,13503,0.0133,0.1189,16799,25
2016,r,Chris Christie,C00580399,NA,NA,0,0.000980187666888,6,2098,3118,0.0464,0.0994,2776,14
2016,r,Ted Cruz,C00574624,NA,NA,0,0.00578024542174,10,10537,11393,0.02,0.0807,10820,22
2016,r,Carly Fiorina,C00577312,NA,NA,0,0.00174940010354,5,4333,4635,0.016,0.1054,16799,25
2016,r,Jim Gilmore,C00582668,NA,NA,0,1.22995336508e-05,0,29,29,0.0,0.0,1487,31
2016,r,Lindsey Graham,P60007697,NA,NA,0,1.010395633e-05,1,0,28,0.0001,0.0021,92,10
2016,r,Mike Huckabee,C00577981,NA,NA,0,0.000760652181165,7,1535,2202,0.0526,0.1046,3391,20
2016,r,John Kasich,C00581876,NA,NA,0,0.0011256375324,17,2331,4131,0.0421,0.0961,8453,109
2016,r,George Pataki,C00578245,NA,NA,0,0.000126049360546,3,210,358,0.0202,0.1114,3391,20
2016,r,Rand Paul,C00495820,NA,NA,0,6.14200571243e-06,2,0,293,0.0358,0.0087,5929,36
2016,r,Marco Rubio,C00458844,NA,NA,0,0.00384327093985,89,8700,23857,0.0157,0.0658,8491,35
2016,r,Rick Santorum,C00578492,NA,NA,0,0.000218881136424,0,509,509,0.0006,0.0,3326,32
2016,r,Donald Trump,C00580100,NA,NA,0,0.00075821083192,7,1550,2229,0.051,0.1112,3426,12
